standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
penyakit infeksi;penyakit infeksi;['infeksi penyakit eksaserbasi akut', 'penyakit', 'penyakit infeksi hpylori', 'penyakit penyakit dermatologis alergik'];['infeksi penyakit eksaserbasi akut','penyakit infeksi hpylori']
penyakit jantung;penyakit jantung;[];[]
penyakit jantung;penyakit jantung hati;[];[]
penyakit jantung koroner;penyakit jantung koroner;['penyakit koroner kronik'];['penyakit koroner kronik']
penyakit liver;penyakit liver;[];[]
penyakit meniere;penyakit meniere s;[];[]
penyakit meniere;penyakit meniere;['gangguan meniere', 'meniere', 'sindrom meniere', 'sindrom meniere s', 'sindroma meniere'];['gangguan meniere', 'meniere', 'sindrom meniere', 'sindrom meniere s', 'sindroma meniere']
penyakit menular seksual;penyakit menular seksual;['penyakit hubungan seksual'];['penyakit hubungan seksual']
penyakit paget;penyakit paget;[];[]
penyakit paru obstruktif kronis;penyakit paru obstruktif kronis;['penyakit paru obstruktif kronis eksaserbasi akut'];['penyakit paru obstruktif kronis eksaserbasi akut', 'penyakit paru', 'penyakit2 paru','penyakit2 obstruksi saluran nafas','obstruksi saluran nafas','obstruksi saluran nafas kronik','obstruksi saluran napa', 'obstruksi saluran napa reversible asma']
penyakit paru obstruktif kronis;penyakit paru obstruktif kronik (ppok);['penyakit paru obstruktif kronik ppok'];['penyakit paru obstruktif kronik ppok']
penyakit paru obstruktif kronis;penyakit paru obstruktif kronik;['paru obstruktif kronik', 'penyakit kronik'];['paru obstruktif kronik']
penyakit pes;penyakit pes;[];[]
perdarahan saluran pencernaan;perdarahan saluran pencernaan;['perdarahan', 'perdarahan hidung'];[]
perdarahan saluran pencernaan;perdarahan saluran cerna atas;[];[]
perdarahan subarachnoid;perdarahan subarachnoid;[];[]
perdarahan subarachnoid;pendarahan subarakhnoid;[];[]
periartritis;periartritis;['periartritis bahu', 'periartritis pinggul'];['periartritis bahu', 'periartritis pinggul']
perikarditis;perikarditis;[];[]
periodontitis;periodontitis;[];[]
periodontitis;priodontitis;[];[]
peritonitis;peritonitis;['peritonitis radang selaput perut'];['peritonitis radang selaput perut','radang selaput perut']
peritonitis;peritoditis;[];[]
perut kembung;perut kembung;['gejala masuk angin seperti perut kembung mual', 'kembung', 'kembung rasa tidak nyaman perut', 'peredangan perut kembung', 'perut kembung masuk angin', 'rasa kembung'];['gejala masuk angin seperti perut kembung mual', 'kembung', 'kembung rasa tidak nyaman perut', 'peredangan perut kembung', 'perut kembung masuk angin', 'rasa kembung']
pilek;pilek;['demam akibat pilek', 'pilek alergi', 'pilek rinorea'];['pilek alergi', 'pilek rinorea','pilek anakanak']
pirosis;pirosis;[];[]
pleuritis;pleuritis;[];[]
plineuritis;plineuritis;['b12 plineuritis neuralgia'];['b12 plineuritis neuralgia']
pneumonia;pneumonia akut;[];[]
pneumonia;s pneumoniae;[];[]
pneumonia;pneumonia faringitis;[];[]
pneumonia;pneumonia komunitas communityacquired pneumonia;[];[]
pneumonia;pneumonia bakteri;[];[]
pneumonia;pneumonia strep hemolitikus;['hemolitikus', 'infeksi strep', 'strep', 'strep hemolitikus'];[]
pneumonia;pneumonia akibat lingkungan;[];[]
pneumonia;pneumonia akibat streptococcus;[];[]
pneumonia;pneumonia;['acquired pneumonia', 'streptococus pneumonia'];['acquired pneumonia', 'streptococus pneumonia']
pneumonia;pneumonia nosokomial;[];[]
pneumonia;pneumonia komunitas;['komunitas'];[]
pneumonia;pneumonitis anaerob;[];[]
pneumonia;pneumonia saluran napa;[];[]
pneumonia;pneumonia lingkungan;['teriritasi lingkungan'];[]
pneumonia;pneumonia cystitis;[];[]
pneumonia;pneumonia dr lingkungan;[];[]
pneumonia;pneumonia yang didapat dari lingkungan;['pneumonia didapat dari lingkungan'];['pneumonia didapat dari lingkungan']
pneumonia;s  pneumoniae;[];[]
pneumonia;s.pneumoniae;['kuman h influenzae s pneumoniae', 'streptococcus pneumoniae'];['kuman h influenzae s pneumoniae', 'streptococcus pneumoniae']
pneumonia;pneumonia masyarakat;[];[]
pneumonia;pneumonia atipik primer;[];[]
pneumonia;pneumonia komuniti;[];[]
pneumonia aspirasi;pneumonia aspirasi;[];[]
polineuritis;polineuritis;[];[]
polineuritis;polyneuritis;[];[]
polineuropati diabetik;polineuropati diabetikum;[];[]
polineuropati diabetik;polineuropati diabetik;[];[]
polip;polip;[];[]
polip hidung;polip hidung;[];[]
polip usus;polip usus besar;[];[]
polisitemia vera;polisitemia vera;[];[]
proktitis;proktitis;[];[]
prostatitis;prostatitis;['pielitis prostatitis akut kronis', 'prostatitis akut', 'prostatitis bakteri kronis', 'prostatitis bakterial kronik'];['pielitis prostatitis akut kronis', 'prostatitis akut', 'prostatitis bakteri kronis', 'prostatitis bakterial kronik']
prostatitis;isk prostatitis;['isk', 'isk komplikasi', 'isk terkomplikasi'];[]
prurigo;prurigo;['ekzema prurigo'];['ekzema prurigo']
pruritus;pruritus anogential;[];[]
pruritus;pruritis;['alergi pruritis'];['alergi pruritis']
pruritus;pruritus;['anti pruritus'];[]
pruritus;pruritus pada urtikaria khronik idiopathik;['pruritus urtikaria khronik idiopathik', 'urtikaria khronik idiopathik'];['pruritus urtikaria khronik idiopathik', 'urtikaria khronik idiopathik']
pruritus;pruritus di anus;['pruritus anus'];['pruritus anus']
pruritus;pruritus anogenital;['infeksi anogenital'];[]
pruritus;pruritis anogenital;[];[]
pruritus;pruritus alergi;[];[]
pruritus;pruritis ani;[];[]
pruritus;pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita;['pruritus gatalgatal anus vulvagenital external wanita'];['pruritus gatalgatal anus vulvagenital external wanita']
psikosis;psikosis;[];[]
psitakosis;psithachosis;[];[]
psitakosis;psitakosis;['limfogranuloma psitakosis'];['limfogranuloma psitakosis']
psitakosis;psittacosis;['limfogranuloma psittacosis', 'lympogranulloma psittacosis'];['limfogranuloma psittacosis', 'lympogranulloma psittacosis']
psoriasis;psoriasis ;[];[]
psoriasis;psoriasis;['inflamasi psoriasis', 'lesi psoriasis', 'vulva psoriasis'];['inflamasi psoriasis', 'lesi psoriasis', 'vulva psoriasis']
psoriasis;psoriasis diskoid;[];[]
psoriasis;psoriasis kecuali plak;[];[]
pusing;pusingmigren;[];[]
pusing;pusingpusing;[];[]
pusing;pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah;['gangguan keseimbangan', 'gangguan sirkulasi', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah'];['pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah']
pusing;pusing vestibular;['gangguan vestibular'];[]
pusing;pusing;['capek pusing', 'kepala pusing'];['capek pusing', 'kepala pusing']
rachitis;rachitis;[];[]
radang;radang akut yang berat;['radang akut berat'];['radang akut berat','peradangan']
radang;radang akibat amandel;[];[]
radang;radang akut;[];[]
radang;radang;['anti radang', 'penyakit radang panggul', 'radang jaringan kuku', 'radang otot', 'radang pankreas', 'radang prostat'];[]
radang ginjal;radang ginjal;['pielonefritis radang ginjal serentak radang pasu ginjal', 'radang pasu ginjal'];['pielonefritis radang ginjal serentak radang pasu ginjal', 'radang pasu ginjal']
radang gusi;radang gusi;['penyakit gigi gusi'];[]
radang kulit;radang kulit;[];[]
radang kulit;radang kkulit;['penyakit kkulit'];[]
radang mata;radang mata akibat reaksi alergi;['reaksi infeksi mata bakteri', 'reaksi kulit akibat obat'];['peradangan mata']
radang mata;radang kornea mata;['tukak kornea mata'];[]
radang mata;radang selaput ikat mata;['konjungtivitis alergi radang selaput ikat mata akibat alergi', 'peradangan selaput mata', 'radang selaput perut'];['peradangan selaput mata']
radang mata;radang kelopak mata;['alergi kelopak mata'];[]
radang mata;radang saraf mata;['anti radang nyeri urat saraf', 'gangguan radang mata', 'gangguan saraf', 'nyeri saraf', 'penyakit radang mata', 'penyakit saraf', 'radang saraf'];['gangguan radang mata', 'penyakit radang mata']
radang mata;radang selaput bening mata;[];[]
radang mata;radang kantung air mata;[];[]
radang mulut;radang mulut;['infeksi mulut', 'peradangan radang mulut', 'radang selaput lendir mulut'];['peradangan radang mulut', 'radang selaput lendir mulut','peradangan rongga mulut tenggorokan']
radang sendi;radang sendi;[];[]
radang telinga;radang telinga bagian luar  tengah;['radang telinga bagian luar tengah'];['radang telinga bagian luar tengah']
radang telinga;radang telinga bagian tengah;[];[]
radang telinga;radang rongga gendang telinga;[];[]
radang telinga;radang telinga bagian luar;[];[]
radang telinga;radang telinga akut kronis;['inflamasi radang telinga'];['inflamasi radang telinga']
radang telinga;radang telinga tengah;[];[]
radang tenggorokan;radang tenggorokan;['nyeri tenggorokan', 'tenggorokan', 'tenggorokan gatal'];[]
radang usus;radang usus;['radang usus halus', 'radang usus peradangan usus'];['radang usus halus', 'radang usus peradangan usus']
radang usus;radang pada usus;[];[]
rakitis;rakhitis akibat defisiensi vit  d;['rakhitis akibat defisiensi vit d'];['rakhitis akibat defisiensi vit d']
rakitis;rakhitis;[];[]
rakitis;rachitis rickets;['penyakit rickets', 'rickets'];['penyakit rickets', 'rickets']
rambut rontok;kerontokan rambut;[];[]
rambut rontok;rambut rontok;[];[]
reactive arthritis;reactive arthritis;[];[]
rematik;reumatik;['non artikular reumatik', 'nonartikular reumatik', 'nyeri penyakit reumatik', 'nyeri reumatik', 'penyakit reumatik', 'reumatik non artikular', 'reumatik non sendi', 'reumatik nonartikular', 'reumatik sendi', 'reumatik tulang'];['non artikular reumatik', 'nonartikular reumatik', 'nyeri penyakit reumatik', 'nyeri reumatik', 'penyakit reumatik', 'reumatik non artikular', 'reumatik non sendi', 'reumatik nonartikular', 'reumatik sendi', 'reumatik tulang','reumatik jaringan lunak terlokalisir','renatik tulang']
rematik;rematik;['rematik non artikular', 'rematik nonartikular', 'rematik tulang'];['rematik non artikular', 'rematik nonartikular', 'rematik tulang']
rematik;rheumatik;[];[]
rheumatoid arthritis;artritis rheumatoid;[];['reumatoid atritis', 'reumatoid atritis akut', 'reumatoid atritis akut kronis', 'reumatoid atritis kronis']
rheumatoid arthritis;rematoid artritis;[];[]
rheumatoid arthritis;rematik artritis;[];[]
rheumatoid arthritis;artritis rematoid aktif;[];[]
rheumatoid arthritis;artritis rematoid;['inflamasi degeneratif artritis rematoid', 'rematoid'];['inflamasi degeneratif artritis rematoid', 'rematoid']
rheumatoid arthritis;rematoid athritis;[];[]
rheumatoid arthritis;gejala artritis reumatoid;[];[]
rheumatoid arthritis;rheumatoid artritis;[];[]
rheumatoid arthritis;gejala juvenile artritis reumatoid;[];[]
rheumatoid arthritis;arthritis rheumatoid;['rheumatoid arthritis poliartritis kronik'];['rheumatoid arthritis poliartritis kronik']
rheumatoid arthritis;artritis reumatoid;['reumatoid artritis', 'reumatoid artritis akut', 'reumatoid artritis akut kronis', 'reumatoid artritis kronis'];['reumatoid artritis', 'reumatoid artritis akut', 'reumatoid artritis akut kronis', 'reumatoid artritis kronis']
rheumatoid arthritis;juvenile artritis reumatoid;[];[]
rheumatoid arthritis;arthritis reumatoid;['reumatoid arthritis'];['reumatoid arthritis']
rheumatoid arthritis;artritis rheumatoid juvenil;[];[]
rheumatoid arthritis;rheumatoid arthritis;[];[]
rheumatoid arthritis;rheumatoid arthritis ra;['ra'];['ra']
rheumatoid arthritis;arthritis reumatik;[];[]
rheumatoid arthritis;atritis rematoid;['nyeri rematoid atritis akut', 'nyeri rematoid atritis kronis', 'pasien rematoid atritis akut kronis', 'rematoid atritis akut', 'rematoid atritis akut kronis', 'rematoid atritis kronis', 'reumatik generatif atritis rematoid'];['nyeri rematoid atritis akut', 'nyeri rematoid atritis kronis', 'pasien rematoid atritis akut kronis', 'rematoid atritis akut', 'rematoid atritis akut kronis', 'rematoid atritis kronis', 'reumatik generatif atritis rematoid']
rheumatoid arthritis;arthritis reumatoid ar;['ar'];['ar']
rhinitis;rhinitis;['perennial rhinitis', 'rhinitis vasomotor', 'vasomotor rhinitis'];['perennial rhinitis', 'rhinitis vasomotor', 'vasomotor rhinitis','rinitis menahun','rinitis purulen']
rhinitis alergi;alergi rinitis intermitensewaktu;[];[]
rhinitis alergi;rinitis alergi;['rinitis', 'rinitis alergi konjungtivitis', 'rinitis alergi menahun musiman', 'rinitis alergi musiman', 'rinitis alergi musiman perennial', 'rinitis alergi musiman tahunan', 'rinitis alergi seasonal', 'rinitis alergi tahunan musiman'];['rinitis', 'rinitis alergi konjungtivitis', 'rinitis alergi menahun musiman', 'rinitis alergi musiman', 'rinitis alergi musiman perennial', 'rinitis alergi musiman tahunan', 'rinitis alergi seasonal', 'rinitis alergi tahunan musiman']
rhinitis alergi;rhinitis alergi;[];[]
rhinitis alergi;alergi rinitis;[];['alergi hidung','alergi pernafasan']
rhinitis alergi;rhinitis alergika;[];[]
rhinitis alergi;allergic rhinitis;[];[]
rhinitis alergi;alergi rinitis nasal  nonnasal;['alergi rinitis nasal nonnasal', 'rinitis alergi nasal'];['alergi rinitis nasal nonnasal', 'rinitis alergi nasal']
rhinitis alergi;alergi rhinitis;[];[]
rhinitis alergi;alergi rinitis intermiten persisten  menerus;['alergi rinitis intermiten persisten menerus', 'rinitis alergi persisten', 'rinitis intermiten', 'rinitis persisten'];['alergi rinitis intermiten persisten menerus', 'rinitis alergi persisten', 'rinitis intermiten', 'rinitis persisten']
rhinitis alergi;rinitis alergika;[];[]
rhinitis alergi;alergi rinitis perenial;['rinitis alergi perenial', 'rinitis alergi seasonal perenial', 'rinitis perenial'];['rinitis alergi perenial', 'rinitis alergi seasonal perenial', 'rinitis perenial']
rhinitis alergi;alergi rinitis persistenterusmenerus;[];[]
riketsiosis;riketsiosis;[];[]
ruam popok;ruam popok;[];[]
sakit gigi;sakit gigi;['sakit', 'sakit gigi nyeri ringan', 'sakit saat pertumbuhan gigi'];['sakit gigi nyeri ringan', 'sakit saat pertumbuhan gigi']
sakit kepala;skit kepala;[];[]
sakit kepala;sakit kepala;['nyeri sakit kepala', 'sakit kepala derajat sedang', 'sakit kepala kekakuan otot', 'sakit kepala sakit gigi', 'sakit kepala sebelah', 'sakit kepala vaskular'];['nyeri sakit kepala', 'sakit kepala derajat sedang', 'sakit kepala kekakuan otot', 'sakit kepala sakit gigi', 'sakit kepala sebelah', 'sakit kepala vaskular']
sakit maag;sakit maag;['maag'];['maag']
sakit perut;sakit perut;['infeksi perut', 'nyeri perut', 'perut'];[]
sakit pinggang;sakit pinggan;[];[]
sakit pinggang;sakit otot pinggang;['sakit otot'];[]
sakit pinggang;sakit pinggang;[];[]
sakit punggung;sakit punggung;['sakit punggung bagian bawah', 'sakit punggung bawah'];['sakit punggung bagian bawah', 'sakit punggung bawah']
sakit tenggorokan;sakıt tenggorokan;[];[]
sakit tenggorokan;sakit tenggorokan;[];['rasa sakit tenggorokan','rasa sakit di tenggorokan']
salpingitis;salpingitis;[];[]
sariawan;sariawan;['nyeri akibat sariawan', 'panas dalam disertai sariawan', 'tukak sariawan'];['nyeri akibat sariawan', 'panas dalam disertai sariawan', 'tukak sariawan']
selulitis;selulitis;['selulitis pelvis', 'selulitis pelvis pasca operasi vagina'];['selulitis pelvis', 'selulitis pelvis pasca operasi vagina']
sepsis;sepsis;['sepsis intra abdominal', 'sepsis intraabdominal', 'sepsis puerperal', 'sepsis purpura'];['sepsis intra abdominal', 'sepsis intraabdominal', 'sepsis puerperal', 'sepsis purpura']
septic arthritis;artritis septik osteomielitis;[];[]
septic arthritis;artritis septik;['aborsi septik', 'abortus septik', 'infeksi abortus septik'];[]
serangan jantung;serangan jantung;[];[]
servisitis;servisitis;['infeksi servisitis non gonokokal', 'servisitis komplikasi', 'uretritis servisitis'];['infeksi servisitis non gonokokal', 'servisitis komplikasi', 'uretritis servisitis','servisitis sal pernafasan', 'servisitis sal pernafasan kecuali disebabkan streptococus']
servisitis;cervicitis;[];[]
servisitis;servisitis go;['go', 'go akut', 'go infeksi', 'non go', 'uretritis go servisitis komplikasi', 'uretritis servisitis go'];['uretritis go servisitis komplikasi', 'uretritis servisitis go']
sesak napas;sesak nafas;['sesak'];['sesak']
sesak napas;sesak napas;['mengi sesak napas paruparu asma'];['mengi sesak napas paruparu asma']
sifilis;sipilis;[];[]
sifilis;sifilis;[];[]
sindrom nefrotik;sindroma nefrotik;[];[]
sindrom nefrotik;sindrom nefrotik;[];[]
sindrom raynaud;sindrom raynaud;[];[]
sindrom raynaud;sindroma raynaud;['fenomena raynaud'];['fenomena raynaud']
sindrom zollinger-ellison;sindrom zollinger-ellison;['hipersekreasi patologis sindrom zollinger ellison', 'hipersekrese patologis sindroma zollinger ellison', 'hipersekresi patologis sindroma zollinger ellison', 'sindrom zollinger', 'sindrom zollinger ellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'sindroma zollinger ellison', 'sindroma zollinger ellison pendarahan gi', 'zollinger ellison syndrome'];['hipersekreasi patologis sindrom zollinger ellison', 'hipersekrese patologis sindroma zollinger ellison', 'hipersekresi patologis sindroma zollinger ellison', 'sindrom zollinger', 'sindrom zollinger ellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'sindroma zollinger ellison', 'sindroma zollinger ellison pendarahan gi', 'zollinger ellison syndrome']
sindrom zollinger-ellison;sindrom zollingerellison;['sindrom zollingerellison adenoma endokrin multiple'];['sindrom zollingerellison adenoma endokrin multiple']
sindrom zollinger-ellison;sindroma zollingerellison;['hipersekreasi patologis seperti sindroma zollingerellison', 'sindroma zollingerellison pendarahan gi'];['hipersekreasi patologis seperti sindroma zollingerellison', 'sindroma zollingerellison pendarahan gi']
sinusitis;sinusitis;['sinusitis akut', 'sinusitis alergi', 'sinusitis maksilaris', 'sinusitis maksilaris akut', 'sinusitis maxillary akut'];['sinusitis akut', 'sinusitis alergi', 'sinusitis maksilaris', 'sinusitis maksilaris akut', 'sinusitis maxillary akut','sinusitis bakterial akut']
sinusitis;sinusitus;[];[]
sinusitis;sistitis;[];[]
sirosis;sirosis;['sirosis hati', 'sirosis hepatik'];['sirosis hati', 'sirosis hepatik']
skiatika;skiatika;[];[]
skleritis;skleritis;[];[]
skorbut;skorbut;[];[]
stenosis pilorus;stenosis pylorus;[];[]
stenosis pilorus;stenosis pilorik;['stenosis pilorik bersifat ringan'];['stenosis pilorik bersifat ringan']
stenosis pilorus;stenosis pilorus;[];[]
stres;stres;[];[]
stres;stress;[];[]
stroke;stroke;[];[]
stroke iskemik;stroke iskemik;[];[]
stroke iskemik;stroke iskhemik;['gejala iskhemik'];['gejala iskhemik']
takikardia;takikardia;['takikardia atrial ektopik', 'takikardia supraventrikular paroksismal', 'takikardia supraventrikuler paroksismal'];['takikardia atrial ektopik', 'takikardia supraventrikular paroksismal', 'takikardia supraventrikuler paroksismal']
tendinitis;tendinitis;[];[]
tendovaginitis;tendovaginitis;[];[]
tetanus;tetanus;[];[]
tifus;tifus;['demam tifus', 'profilaksis scrub tifus', 'scrub tifus'];['demam tifus', 'profilaksis scrub tifus', 'scrub tifus']
tinea barbae;tinea barbae;['sikosis barbae'];['sikosis barbae']
tinea capitis;tinea capitis;[];[]
tinea capitis;tinea kapitis;['dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis', 'pitiriasis kapitis'];['dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis']
tinea corporis;tinea korporis;['tinea korporis kurap', 'tinea kruris korporis'];['tinea korporis kurap', 'tinea kruris korporis']
tinea corporis;tinea corporis kurap;[];[]
tinea corporis;tinea corporis;[];[]
tinea cruris;tinea kuris;[];[]
tinea cruris;tinea cruris;['tinea cruris gatal jamur selangkangan'];['tinea cruris gatal jamur selangkangan']
tinnitus;tinitus;['tinitus telinga berdenging'];['tinitus telinga berdenging','telinga berdengung']
tinnitus;tinnitus;['telinga berdengung tinnitus'];['telinga berdengung tinnitus']
tirotoksikosis;tirotoksikosis;['tirotoksikosis feokhromositoma'];['tirotoksikosis feokhromositoma']
toksoplasmosis;toksoplasmosis;['infeksi toksoplasmosis', 'profilaksis toksoplasmosis wanita hamil'];['infeksi toksoplasmosis', 'profilaksis toksoplasmosis wanita hamil']
toksoplasmosis;toxoplasmosis;['infeksi toxoplasmosis'];['infeksi toxoplasmosis']
trakhitis;trakhitis;[];[]
trikomoniasis;trikomoniasis;['trikomoniasis salurah kemih kelamin'];['trikomoniasis salurah kemih kelamin']
tromboflebitis;tromboflebitis;[];[]
trombositemia;trombositemia;[];[]
trombositopenia;trombositopenia;[];[]
tukak lambung;tukak lambung;['pasien tukak lambung', 'seperli tukak lambung', 'tukak', 'tukak duodenum tukak lambung ringan', 'tukak kulit', 'tukak lambung aktif', 'tukak lambung duodenum', 'tukak lambung jinak', 'tukak lambung jinak tukak pasca operasi', 'tukak lambung ringan', 'tukak lambung tukak duodenum', 'tukak lambung ulkus peptik', 'tukak ulkus lambung', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'ulkus tukak lambung'];['tukak peptik','ulkus lambung','lesi lambung', 'ulkus peptik', 'tukak khronik','pasien tukak lambung', 'seperli tukak lambung', 'tukak', 'tukak duodenum tukak lambung ringan', 'tukak kulit', 'tukak lambung aktif', 'tukak lambung duodenum', 'tukak lambung jinak', 'tukak lambung jinak tukak pasca operasi', 'tukak lambung ringan', 'tukak lambung tukak duodenum', 'tukak lambung ulkus peptik', 'tukak ulkus lambung', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'ulkus tukak lambung']
tukak lambung;tukak lambung usus;['penyakit lambung usus halus', 'tukak lambung danatau usus halus', 'tukak lambung tukak usus halus', 'tukak lambung usus duabelas jari', 'tukak ulkus lambung usus halus', 'tukak usus', 'tukak usus 12 jari lambung', 'tukak usus halus', 'ulkus lambung usus halus', 'ulkus tukak lambung usus halus', 'ulkus tukak usus halus'];['penyakit lambung usus halus', 'tukak lambung danatau usus halus', 'tukak lambung tukak usus halus', 'tukak lambung usus duabelas jari', 'tukak ulkus lambung usus halus', 'ulkus lambung usus halus', 'ulkus tukak lambung usus halus']
tukak lambung;luka lambung;['luka', 'luka kronik'];[]
tumor;tumor;['tumor jinak'];['tumor jinak']
ulkus dekubitus;ulkus dekubitus;[];[]
ulkus duodenum;ulkus deudenum;[];['tukak usus 12 jari', 'tukak usus belas jari', 'tukak usus belas jari aktif', 'tukak usus dua belas jari', 'tukak usus', 'tukak usus 12 jari lambung', 'tukak usus halus','ulkus tukak usus halus']
ulkus duodenum;ulkus duodenal;['luka duodenal', 'tuka duodenal', 'tukak duodenal', 'ulcus duodenal'];['luka duodenal', 'tuka duodenal', 'tukak duodenal', 'ulcus duodenal']
ulkus duodenum;ulkus duodenum;['duodenum', 'lesi duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'tukak duodenum', 'tukak duodenum akut', 'ulkus', 'ulkus usus halus duodenum'];['lesi duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'tukak duodenum', 'tukak duodenum akut', 'ulkus usus halus duodenum']
ulkus duodenum;ulkus duodenum aktif;['ulkus aktif usus halus duodenum', 'ulkus tukak usus halus aktif', 'ulus duodenum aktif'];['ulkus aktif usus halus duodenum', 'ulkus tukak usus halus aktif', 'ulus duodenum aktif']
ulkus kornea;ulkus pada kornea;[];[]
ulkus kornea;ulkus kornea;['erosi kornea', 'luka kornea', 'tukak kornea'];['tukak kornea','luka kornea','tukak kornea mata']
uretritis;urethritis;['urethritis vaginitis'];['urethritis vaginitis']
uretritis;gi uretritis;['gangguan gi', 'gangguan gi mual', 'gi', 'gi uretritis servisitis go'];['gi uretritis servisitis go']
uretritis;uritritis;['uritritis non gonokokal'];['uritritis non gonokokal']
uretritis;urethris;[];[]
uretritis;uretritis;['infeksi uretritis', 'protozoa uretritis', 'uretritis non go', 'uretritis nongonococcal', 'uretritis nongonokokus'];['infeksi uretritis', 'protozoa uretritis', 'uretritis non go', 'uretritis nongonococcal', 'uretritis nongonokokus']
urtikaria;alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis;[];[]
urtikaria;alergi urtikaria;['cold urtikaria', 'manifestasi alergi kulit urtikaria', 'rinitis urtikaria', 'urtikaria', 'urtikaria khronik', 'urtikaria kronik', 'urtikaria kronis'];['cold urtikaria', 'manifestasi alergi kulit urtikaria', 'rinitis urtikaria', 'urtikaria', 'urtikaria khronik', 'urtikaria kronik', 'urtikaria kronis']
uveitis;uveitis;[];[]
uveitis;chronic anterior uveitis;[];[]
vaginitis;vaginitis;['vaginitis kandida', 'vaginitis nonspesifik', 'vaginitis trichomonas', 'vaginitis trichomonas vaginalis'];['vaginitis kandida', 'vaginitis nonspesifik', 'vaginitis trichomonas', 'vaginitis trichomonas vaginalis']
vaginosis bakterialis;bacterial vaginosis;[];[]
vaginosis bakterialis;vaginosis bakterialis;[];[]
varicela;varicela;[];[]
varicela;varicella;[];[]
varicela;varisela;[];[]
varicela;varicella zoster;[];[]
varises;varises;['tukak trofik varises'];['tukak trofik varises']
vertigo;vertigo;['vertigo perifer'];['vertigo perifer']
vulvitis;vulvitas;[];[]
vulvitis;vulvitis;[];[]
wasir (ambeien);wasir ambeien;['wasir', 'wasir akut', 'wasir kronik'];['wasir', 'wasir akut', 'wasir kronik','gejala wasir', 'wasir kronis menahun','nyeri panas pendarahan akibat wasir','wasir kronik akut','hemoroid eksterna']
wasir (ambeien);ambien wasir;[];[]
wasir (ambeien);wasir (ambeien);[];[]
alergi dermatologi;;;['alergi dermatologi', 'gangguan alergi kulit', 'gangguan kulit akibat alergi', 'gangguan kulit alergi','alergi kulit','penyakit kulit akibat reaksi alergi', 'reaksi alergi kulit','alergi kulit mukosa','alergi kulit selaput lendir','penyakit penyakit dermatologis alergik']
alergi mata;;;['alergi kulit mata', 'alergi mata','alergi kelopak mata']
dermatosis;;;['dermatosis alergi', 'dermatosis alergi inflamasi','dermatosis lain','dermatosis bakterial']
radang hidung;;;['peradangan hidung']
spondilitis deformans;;;['spondilitis deformans']
cacing gelang ascaris lumbricoides;;;['cacing gelang ascaris lumbricoides']
panas;;;['panas','panas disertai tenggorokan kering']
panas dalam;;;['panas dalam']
hipersekresi mukus;;;['hipersekresi mukus']
gangguan saluran gastrointestinal;;;['gangguan gi', 'gangguan gi mual', 'gi']
eksema;;;['ekzema bernanah']
hiperasiditas gastrointestinal;;;['hiperasiditas gastrointestinal','hiperasiditas lambung saluran cerna','hiperasiditas pencernaan']
perdarahan gastrointestinal;;;['perdarahan gastrointestinal']
inflamasi;;;['inflamasi']
ensefalitis;;;['toksoplasmik ensefalitis']
ulkus genital;;;['penyakit ulkus genital orang dewasa','penyakit ulkus genital']
gatal;;;['gatalgatal','gatal', 'gatal gatal', 'gatal kulit', 'inflamasi gatal gatal', 'sakit gigi gatal gatal', 'urtikaria gatal gatal','gatalgatal disebabkan oleh infeksi jamur','gatal jamur kulit']
infeksi selaput lendir mulut;;;['infeksi selaput lendir mulut']
tremor esensial;;;['tremor esensial']
gangguan peradangan okular;;;['gangguan peradangan okular']
inflamasi okular;;;['inflamasi okular']
penyakit kulit;;;['penyakit dermatologik lain', 'penyakit kulit lain','penyakit kulit lainnya','penyakit infeksi kulit jaringan lunak', 'penyakit kulit jaringan lunak','penyakit kulit janggut jamur','penyakit kulit', 'penyakit kulit dengan peradangan','penyakit kkulit']
septikemia;;;['septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut']
tbc (tuberkulosis);;;['tbc infeksi mikobakterial','mycobacterium tuberculosis', 'tbc',  'tb paru', 'tbc paru', 'tbc paru paru', 'tuberkulosa paru', 'tuberkulosis paru']
nyeri gigi;;;['nyeri gigi', 'nyeri gigi sedang','meredakan nyeri gigi ringan', 'nyeri gigi ringan', 'nyeri gigi ringan hingga sedang']
